0|iata_code|1|name_eng|2|city_rus|3|country_rus
AIU|AIU|Atiu Island|Atiu Island|||Острова Кука|Острова Кука
AIV|AIV|George Downer|George Downer|||США|США
AIW|AIW|Ai-ais|Ai-ais|||Намибия|Намибия
AIY|AIY|Bader Field|Bader Field|Атлантик Сити|Атлантик Сити|США|США
AIZ|AIZ|Lee C Fine Memorial|Lee C Fine Memorial|||США|США
AJA|AJA|Campo Dell Oro|Campo Dell Oro|Аяччио|Аяччио|Франция|Франция
AJF|AJF|Jouf|Jouf|||Саудовская Аравия|Саудовская Аравия
AJI|AJI|A&amp;#287;ri|A&amp;#287;ri|Агри|Агри|Италия|Италия
AJJ|AJJ|Akjoujt|Akjoujt|Акжужт|Акжужт|Мавритания|Мавритания
AJK|AJK|Araak|Araak|||Иран|Иран
AJL|AJL|Aizawl|Aizawl|Айзаул|Айзаул|Индия|Индия
AJN|AJN|Ouani|Ouani|Анжуан|Анжуан|Коморские острова|Коморские острова
AJO|AJO|Aljouf|Aljouf|Альюф|Альюф|Йемен|Йемен
AJR|AJR|Arvidsjaur|Arvidsjaur|Арвидсьяур|Арвидсьяур|Швеция|Швеция
AJS|AJS|Abreojos|Abreojos|Абреохос|Абреохос|Мексика|Мексика
AJU|AJU|Santa Maria|Santa Maria|Аракайю|Аракайю|Бразилия|Бразилия
AJY|AJY|Agades|Agades|||Нигер|Нигер
AKA|AKA|Ankang|Ankang|Анькан|Анькан|Китай|Китай
AKB|AKB|Atka|Atka|||США|США
AKC|AKC|Fulton International|Fulton International|||ЮАР|ЮАР
AKD|AKD|Akola|Akola|Акола|Акола|Индия|Индия
AKE|AKE|Akieni|Akieni|Акиени|Акиени|Габон|Габон
AKF|AKF|Kufrah|Kufrah|Куфра|Куфра|Ливия|Ливия
AKG|AKG|Anguganak|Anguganak|Ангуганак|Ангуганак|Папуа - Новая Гвинея|Папуа - Новая Гвинея
AKH|AKH|Prince Sultan Air Base|Prince Sultan Air Base|||Саудовская Аравия|Саудовская Аравия
AKI|AKI|Akiak|Akiak|||США|США
AKJ|AKJ|Asahikawa|Asahikawa|Асахикава|Асахикава|Япония|Япония
AKK|AKK|Akhiok SPB|Akhiok SPB|||США|США
AKL|AKL|Auckland International|Auckland International|Окленд|Окленд|Новая Зеландия|Новая Зеландия
AKM|AKM|Zakouma|Zakouma|Закума|Закума|Чад|Чад
AKN|AKN|King Salmon|King Salmon|||США|США
AKO|AKO|Colorado Plains Regional Airport|Colorado Plains Regional Airport|Akron|Akron|США|США
AKP|AKP|Anaktuvuk|Anaktuvuk|||США|США
AKQ|AKQ|Gunung Batin|Gunung Batin|Астраксетра|Астраксетра|Индонезия|Индонезия
AKR|AKR|Akure|Akure|Акере|Акере|Нигерия|Нигерия
AKT|AKT|Akrotiri Raf|Akrotiri Raf|Акротири|Акротири|Кипр|Кипр
AKU|AKU|Aksu|Aksu|Аксу|Аксу|Китай|Китай
AKV|AKV|Akulivik|Akulivik|||Канада|Канада
AKW|AKW|Aghajari|Aghajari|||Иран|Иран
AKX|AKX|Aktyubinsk|Aktyubinsk|Актюбинск|Актюбинск|Казахстан|Казахстан
AKY|AKY|Civil|Civil|||Мьянма|Мьянма
ALA|ALA|Almaty|Almaty|Алматы|Алматы|Казахстан|Казахстан
ALB|ALB|Albany International|Albany International|Олбани|Олбани|США|США
ALC|ALC|Alicante El Altet|Alicante El Altet|Аликанте|Аликанте|Испания|Испания
ALD|ALD|Alerta|Alerta|Алерта|Алерта|Перу|Перу
ALE|ALE|Alpine|Alpine|||США|США
ALF|ALF|Alta|Alta|Алта|Алта|Норвегия|Норвегия
ALG|ALG|Houari Boumediene|Houari Boumediene|||Алжир|Алжир
